order,wll
98,6233.37
98,6236.03
98,6248.26
98,6253.53
97,6253.53
97,6295.07
97,6300.28
96,6361.05
96,6371.61
96,6374.21
96,6391.56
96,6413.37
95,6391.56
95,6394.53
95,6397.19
95,6429.28
95,6430.47
95,6432.72
95,6444.34
95,6447.59
95,6466.77
95,6483.04
95,6483.52
95,6484.3
95,6488.44
95,6488.83
94,6463.44
94,6468.83
94,6479.77
94,6483.52
94,6498.6
94,6505.42
94,6519.47
94,6522.79
94,6523.79
94,6526.25
94,6527.88
94,6528.84
94,6545.94
94,6546.3
94,6547.9
94,6553.63
94,6554.57
94,6555.06
94,6556.82
94,6557.71
94,6558.68
93,6520.75
93,6522.79
93,6523.79
93,6526.25
93,6527.88
93,6528.84
93,6537.07
93,6544.79
93,6547.54
93,6553.63
93,6553.88
93,6554.57
93,6556.82
93,6557.71
93,6565.98
93,6568.03
93,6574.84
93,6576.56
93,6584.05
93,6584.6
93,6587.03
93,6603.21
93,6605.82
93,6609.79
93,6611.07
93,6618.31
93,6618.58
93,6620.88
93,6621.09
93,6622.36
93,6622.91
93,6627.13
93,6627.85
92,6590.73
92,6609.79
92,6618.58
92,6620.88
92,6621.09
92,6623.61
92,6627.85
92,6630.88
92,6635.25
92,6651.38
92,6658.48
92,6658.66
92,6659.54
92,6663.04
92,6674.51
92,6685.23
92,6689.39
92,6693.05
92,6693.87
92,6699.56
91,6664.38
91,6674.51
91,6685.23
91,6689.39
91,6693.05
91,6693.87
91,6703.37
91,6727.79
91,6728.65
91,6730.03
91,6734.01
91,6738.66
91,6742.54
91,6743.23
91,6744.98
91,6756.79
91,6763.24
91,6769.13
91,6770.51
91,6770.93
91,6775.11
91,6775.8
90,6738.66
90,6742.54
90,6743.23
90,6744.98
90,6750.15
90,6756.79
90,6763.24
90,6770.51
90,6775.11
90,6782.5
90,6784.73
90,6790.64
90,6792.18
90,6801.3
90,6806.82
90,6807.09
90,6813.74
90,6814.87
90,6818.01
90,6820.18
90,6821.18
90,6822.01
90,6822.65
90,6825.82
90,6826.35
90,6826.89
90,6831.22
90,6834.61
90,6835.28
90,6839.76
90,6843.95
90,6848.12
89,6813.74
89,6814.87
89,6820.18
89,6821.18
89,6825.82
89,6826.35
89,6831.22
89,6832.74
89,6834.61
89,6835.28
89,6843.95
89,6844.63
89,6844.91
89,6848.12
89,6859.11
89,6861.45
89,6864.76
89,6880.38
89,6887.41
89,6888.25
89,6890.84
89,6892.85
89,6893.27
89,6896.15
89,6896.75
89,6898.02
89,6900.72
89,6903.1
89,6904.42
89,6918.96
89,6919.79
89,6924.62
88,6895.04
88,6896.15
88,6896.75
88,6898.02
88,6898.96
88,6900.72
88,6903.1
88,6904.42
88,6905.66
88,6917.18
88,6918.96
88,6921.56
88,6924.32
88,6924.62
88,6935.19
88,6941.25
88,6948.32
88,6967.56
88,6969.15
88,6970.75
88,6975.22
87,6970.75
87,6975.22
87,6981.07
87,6983.97
87,6985.41
87,7016.03
87,7018.97
87,7019.19
87,7021.93
87,7049.67
87,7051.15
87,7052.18
87,7084.05
86,7049.67
86,7051.15
86,7080.66
86,7084.05
86,7090.6
86,7093.28
86,7104.95
86,7105.56
86,7109.25
86,7111.1
86,7123.61
86,7125.19
86,7127.46
86,7127.63
86,7128.24
86,7129.93
86,7132.03
86,7132.63
86,7133.25
86,7136.15
86,7136.66
86,7144.19
86,7145.19
86,7149.86
86,7154.3
86,7164.85
86,7166.87
86,7170.22
85,7136.66
85,7144.19
85,7149.86
85,7166.87
85,7170.22
85,7172.77
85,7180.86
85,7181.25
85,7181.49
85,7190.56
85,7191.58
85,7196.01
85,7198.62
85,7207.4
85,7209.46
85,7212.27
85,7212.54
85,7213.99
85,7221.06
85,7228.3
85,7229.86
85,7232.86
84,7221.87
84,7224.01
84,7229.86
84,7232.86
84,7255.75
84,7264.29
84,7265.28
84,7266.94
84,7275.73
84,7279.3
84,7281.95
84,7294.71
84,7296.05
84,7300.83
84,7303.67
84,7311.49
84,7315.37
84,7322.8
84,7326.0
84,7326.36
84,7328.1
84,7334.04
84,7335.8
84,7337.95
84,7339.59
83,7303.67
83,7311.49
83,7315.37
83,7318.09
83,7324.02
83,7326.0
83,7326.36
83,7327.14
83,7328.1
83,7339.59
83,7343.6
83,7343.83
83,7344.43
83,7346.62
83,7358.84
83,7363.71
83,7364.08
83,7365.05
83,7373.98
83,7379.4
83,7389.5
83,7390.38
83,7394.16
83,7396.53
83,7397.28
83,7399.02
83,7404.71
83,7405.81
83,7407.4
83,7410.89
83,7412.32
83,7413.33
83,7417.41
83,7421.52
83,7426.5
83,7427.55
82,7394.16
82,7396.53
82,7399.02
82,7406.38
82,7406.71
82,7407.4
82,7412.32
82,7413.33
82,7414.56
82,7418.1
82,7421.52
82,7422.9
82,7426.08
82,7426.5
82,7428.7
82,7429.68
82,7444.96
82,7449.94
82,7454.35
82,7458.3
82,7459.97
82,7462.19
82,7464.08
82,7482.59
82,7489.43
82,7495.61
82,7496.46
82,7498.84
82,7504.03
82,7512.79
82,7514.63
82,7515.4
82,7519.47
81,7498.84
81,7499.38
81,7504.03
81,7512.79
81,7519.47
81,7521.95
81,7523.7
81,7547.51
81,7551.27
81,7561.83
81,7562.68
81,7568.13
81,7572.35
81,7572.85
81,7575.13
81,7576.86
81,7584.17
81,7588.52
81,7590.08
81,7590.61
81,7592.62
81,7594.76
81,7597.15
81,7599.97
81,7602.38
81,7603.25
81,7603.63
81,7606.61
81,7607.93
81,7608.26
81,7611.27
80,7577.96
80,7582.06
80,7584.17
80,7590.61
80,7592.62
80,7594.76
80,7602.38
80,7606.61
80,7607.93
80,7608.26
80,7608.9
80,7611.27
80,7617.13
80,7617.94
80,7622.91
80,7623.74
80,7624.06
80,7628.48
80,7628.99
80,7635.06
80,7638.41
80,7643.51
80,7643.76
80,7644.56
80,7645.71
80,7646.45
80,7651.0
80,7653.14
80,7654.33
80,7654.6
80,7660.83
80,7682.11
80,7683.57
80,7694.03
80,7697.8
80,7699.12
80,7699.79
79,7672.98
79,7682.11
79,7694.03
79,7697.8
79,7699.12
79,7709.54
79,7710.02
79,7727.11
79,7728.43
79,7736.21
79,7749.44
79,7750.32
79,7754.61
79,7756.32
79,7757.2
79,7762.02
79,7762.71
79,7764.79
79,7781.46
79,7782.48
79,7784.44
79,7784.7
79,7799.62
79,7801.27
78,7779.18
78,7781.46
78,7784.44
78,7784.7
78,7791.35
78,7799.38
78,7799.62
78,7807.38
78,7808.91
78,7810.36
78,7815.7
78,7816.61
78,7817.59
78,7818.11
78,7818.48
78,7826.07
78,7831.99
78,7832.37
78,7834.19
78,7834.94
78,7836.62
78,7837.26
78,7837.9
78,7838.78
78,7846.88
78,7847.35
78,7847.9
78,7851.08
78,7856.88
78,7858.82
78,7859.47
78,7864.43
78,7869.73
78,7877.56
78,7889.78
78,7890.77
78,7894.28
78,7900.62
78,7902.61
77,7877.56
77,7890.77
77,7894.28
77,7894.67
77,7900.62
77,7902.61
77,7906.47
77,7907.7
77,7909.28
77,7910.16
77,7911.85
77,7913.39
77,7926.14
77,7931.09
77,7933.91
77,7936.57
77,7948.44
77,7951.87
77,7956.15
77,7958.14
77,7958.93
77,7959.26
77,7962.17
77,7964.37
77,7964.62
77,7966.15
77,7966.76
77,7969.01
77,7976.12
77,7977.29
77,7979.09
77,7979.38
77,7979.82
77,7981.28
77,7989.75
77,7991.39
77,7992.83
77,7993.51
77,7994.4
77,7997.72
77,8000.81
77,8003.76
77,8005.26
76,7977.29
76,7981.28
76,7989.75
76,7991.39
76,7993.51
76,7997.72
76,8000.81
76,8003.76
76,8005.26
76,8014.1
76,8015.17
76,8021.61
76,8022.72
76,8033.03
76,8033.84
76,8040.15
76,8041.21
76,8047.87
76,8051.36
76,8067.7
76,8068.08
76,8072.57
76,8079.54
76,8081.77
76,8082.84
76,8097.71
76,8099.86
76,8100.75
76,8101.31
76,8101.95
76,8104.11
76,8107.23
76,8109.69
75,8082.84
75,8100.75
75,8101.31
75,8101.95
75,8104.11
75,8107.23
75,8109.69
75,8124.68
75,8128.48
75,8128.84
75,8134.03
75,8142.12
75,8154.54
75,8155.98
75,8160.71
75,8161.23
75,8163.2
75,8163.44
75,8167.17
75,8168.18
75,8170.02
75,8174.52
75,8175.79
75,8178.11
75,8185.93
75,8188.56
75,8189.06
75,8195.12
75,8201.97
75,8202.48
75,8203.25
75,8205.32
75,8207.62
75,8209.78
75,8213.57
75,8215.86
75,8217.42
75,8221.71
74,8195.12
74,8201.97
74,8203.25
74,8207.62
74,8212.43
74,8213.57
74,8217.42
74,8231.3
74,8233.1
74,8234.65
74,8235.6
74,8239.38
74,8240.99
74,8248.94
74,8249.66
74,8263.39
74,8270.29
74,8272.34
74,8272.92
74,8275.2
74,8281.62
74,8283.27
74,8285.66
74,8291.39
74,8291.79
74,8296.66
74,8318.69
74,8320.64
74,8321.53
74,8322.34
74,8325.32
74,8329.97
74,8332.04
73,8312.98
73,8318.69
