
jd,d_a,d_a_std,d_b,d_b_std,dd,dd_std,tccd,t1,t2,t3,t4,t5,t6,t7,t8,p,dd_rv,date
58116.649803,0.009362,0.017272,0.007734,0.013819,0.078854,0.018267,-113.227262,10.756000,10.583429,10.582600,10.413714,10.365500,10.287067,10.380533,10.254214,0.000008,99.469118,2017-12-29
58117.718588,0.016830,0.015379,0.015951,0.014442,0.078124,0.017918,-113.225021,10.759143,10.586429,10.585400,10.417000,10.368429,10.289200,10.383333,10.256786,0.000008,97.980673,2017-12-30
58118.679803,0.016814,0.015864,0.017047,0.012940,0.076777,0.019577,-113.225208,10.764267,10.591857,10.590267,10.422467,10.372786,10.294467,10.388429,10.262929,0.000008,96.648513,2017-12-31
58119.539745,0.030370,0.014132,0.028466,0.014701,0.079081,0.017567,-113.224739,10.766000,10.593214,10.591857,10.423267,10.375071,10.295786,10.389571,10.264267,0.000009,98.894778,2018-01-01
58120.600787,0.031778,0.013006,0.029833,0.011307,0.079076,0.017897,-113.225955,10.768143,10.595667,10.595071,10.425714,10.377333,10.298429,10.392600,10.266643,0.000009,99.465972,2018-01-02
58121.675833,-0.000724,0.015899,0.000149,0.014141,0.076408,0.016539,-113.225687,10.768857,10.596286,10.595286,10.426467,10.378429,10.299143,10.392786,10.267143,0.000008,95.953484,2018-01-03
58122.614306,0.002792,0.014893,0.000930,0.016303,0.078824,0.019223,-113.224637,10.770929,10.598214,10.597667,10.428500,10.380500,10.301800,10.395733,10.268786,0.000008,98.311278,2018-01-04
58123.654410,0.009100,0.017194,0.007745,0.015449,0.078450,0.017069,-113.225185,10.774533,10.601500,10.600643,10.432133,10.383214,10.304143,10.398000,10.271929,0.000009,98.528163,2018-01-05
58124.726817,-0.006968,0.019162,-0.007651,0.018199,0.078057,0.016660,-113.223708,10.772333,10.599429,10.598429,10.429467,10.381071,10.301643,10.395857,10.269333,0.000008,97.842687,2018-01-06
58125.629444,-0.006600,0.019314,-0.008947,0.018447,0.079241,0.018267,-113.224056,10.765933,10.593214,10.591714,10.422667,10.373857,10.294786,10.387929,10.262000,0.000009,99.320295,2018-01-07
58126.633519,0.010923,0.017365,0.009728,0.016846,0.078050,0.018810,-113.224119,10.761714,10.589643,10.587733,10.418867,10.369429,10.290667,10.383867,10.257857,0.000008,97.484306,2018-01-08
58127.692384,-0.002467,0.020523,-0.005061,0.019340,0.079527,0.019513,-113.223792,10.754214,10.581571,10.580267,10.411067,10.361857,10.283333,10.376000,10.250500,0.000008,99.419429,2018-01-09
58128.606146,-0.018216,0.022273,-0.019938,0.021068,0.078637,0.018961,-113.224656,10.748214,10.575714,10.574467,10.405571,10.355867,10.276733,10.370733,10.244357,0.000009,98.337718,2018-01-10
58130.665949,0.006987,0.018792,0.006179,0.017285,0.077701,0.018626,-113.224201,10.756933,10.584200,10.583071,10.415071,10.365533,10.287000,10.381143,10.254733,0.000010,97.280262,2018-01-12
58131.736910,0.013061,0.015879,0.011680,0.015454,0.078316,0.018787,-113.223458,10.763786,10.590857,10.590200,10.421400,10.371857,10.292800,10.386733,10.260500,0.000009,97.871853,2018-01-13
58132.742593,0.019502,0.016120,0.018440,0.014477,0.078040,0.019182,-113.222917,10.769067,10.596357,10.595714,10.426467,10.377357,10.299000,10.392500,10.266067,0.000009,97.579331,2018-01-14
58133.633762,0.044685,0.013339,0.043511,0.012439,0.078037,0.019361,-113.226017,10.770929,10.597800,10.597000,10.428429,10.377600,10.299000,10.393000,10.266467,0.000009,97.518838,2018-01-15
58134.586620,0.048482,0.011653,0.047406,0.009952,0.077980,0.018980,-113.223113,10.774643,10.602286,10.600933,10.432133,10.383500,10.304800,10.398267,10.272143,0.000009,97.643558,2018-01-16
58135.667801,0.062593,0.008930,0.061759,0.007654,0.077707,0.018487,-113.223244,10.781357,10.609000,10.607533,10.439214,10.389867,10.311000,10.405267,10.278786,0.000010,97.198052,2018-01-17
58136.662315,0.069196,0.007362,0.068881,0.006683,0.077282,0.018542,-113.221979,10.789143,10.617214,10.616200,10.447857,10.398571,10.319800,10.413733,10.287429,0.000009,96.492197,2018-01-18
58137.739572,0.079019,0.007207,0.077636,0.006291,0.078184,0.018465,-113.224143,10.795929,10.623600,10.622286,10.453071,10.403571,10.325071,10.418714,10.292429,0.000010,97.621803,2018-01-19
58138.742697,0.094936,0.006349,0.093731,0.004793,0.078151,0.019449,-113.222920,10.799643,10.627286,10.626357,10.457286,10.408857,10.329786,10.423133,10.297643,0.000010,97.792326,2018-01-20
58139.745648,0.083332,0.006464,0.083093,0.005063,0.077230,0.018762,-113.223812,10.795429,10.623214,10.622467,10.452429,10.403786,10.324667,10.418400,10.291357,0.000011,96.667475,2018-01-21
58140.697662,0.075730,0.006774,0.074734,0.006509,0.077907,0.018359,-113.223534,10.790786,10.618267,10.617214,10.447714,10.399786,10.320786,10.414357,10.288143,0.000010,97.259727,2018-01-22
58141.668368,0.052020,0.010052,0.050525,0.009399,0.078455,0.018984,-113.224351,10.785071,10.612429,10.611133,10.441933,10.393857,10.315133,10.408800,10.283071,0.000009,98.015189,2018-01-23
58142.710590,0.053699,0.010145,0.054013,0.009423,0.076647,0.019952,-113.223890,10.784286,10.611643,10.610333,10.441643,10.393143,10.314600,10.402067,10.282357,0.000010,95.706259,2018-01-24
58143.700463,0.039905,0.011823,0.038471,0.011215,0.078367,0.018891,-113.222642,10.784429,10.611857,10.610571,10.441857,10.393643,10.314400,10.409200,10.281929,0.000010,97.914782,2018-01-25
58144.663565,0.035096,0.013779,0.034115,0.013379,0.077857,0.019119,-113.225062,10.782200,10.610067,10.608500,10.439429,10.391667,10.312429,10.405786,10.280133,0.000011,97.253976,2018-01-26
58145.779479,0.036314,0.013958,0.034714,0.013565,0.078469,0.018174,-113.223455,10.775571,10.603357,10.602067,10.432429,10.383867,10.304400,10.398667,10.272714,0.000012,98.066916,2018-01-27
58146.665706,0.036870,0.014607,0.034783,0.013704,0.079058,0.018611,-113.222247,10.770429,10.597200,10.596286,10.426786,10.379000,10.300067,10.392867,10.267357,0.000012,98.817328,2018-01-28
58148.670880,0.006428,0.018456,0.005198,0.017311,0.078155,0.019209,-113.225021,10.761200,10.588533,10.587267,10.418267,10.369714,10.290286,10.384071,10.258333,0.000010,97.711399,2018-01-30
58150.749433,-0.020912,0.021956,-0.022430,0.021186,0.078467,0.018535,-113.222312,10.761357,10.588857,10.587071,10.419000,10.369571,10.290667,10.384200,10.257643,0.000011,98.102189,2018-02-01
58151.815833,-0.004780,0.021168,-0.006274,0.019588,0.078440,0.018843,-113.223162,10.760929,10.588429,10.587357,10.418714,10.370333,10.291667,10.385286,10.259071,0.000011,98.139476,2018-02-02
58152.826481,0.014154,0.017846,0.012281,0.017885,0.078814,0.018729,-113.222429,10.761000,10.588929,10.587286,10.418714,10.368857,10.290067,10.383600,10.257786,0.000012,98.315410,2018-02-03
58153.715185,-0.006515,0.020362,-0.008053,0.019225,0.078523,0.018786,-113.223268,10.761857,10.589214,10.588429,10.419000,10.370500,10.291000,10.385000,10.259429,0.000012,98.178854,2018-02-04
58154.660440,-0.012840,0.021680,-0.014319,0.020895,0.078454,0.018779,-113.223589,10.759429,10.586667,10.585571,10.416714,10.367071,10.288786,10.382400,10.255867,0.000011,97.997621,2018-02-05
58155.680046,-0.005054,0.021135,-0.006691,0.020803,0.078439,0.019174,-113.222104,10.759571,10.586929,10.586000,10.417500,10.367429,10.288667,10.382267,10.255714,0.000011,97.958929,2018-02-06
58156.701308,0.011331,0.018757,0.009189,0.017991,0.079106,0.017809,-113.223187,10.758143,10.586200,10.584286,10.416000,10.366714,10.287500,10.381600,10.254714,0.000011,98.790331,2018-02-07
58157.710706,0.005724,0.019005,0.004523,0.018676,0.078078,0.018079,-113.224244,10.758357,10.586000,10.585286,10.416786,10.367571,10.288333,10.382200,10.255500,0.000012,97.511787,2018-02-08
58158.647292,0.019839,0.016983,0.018242,0.016070,0.078522,0.019338,-113.222175,10.760214,10.587214,10.586667,10.418600,10.368067,10.289733,10.383357,10.257071,0.000012,98.096186,2018-02-09
