bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp_obs,e_nzp_obs,tzp_pix,tzp_pix_w,tzp_rv,tzp_rv_w,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pres,star,spt
2458118.439500,-5.987658,1.150953,4.100662,1.385318,1.267580,0.803934,-0.040249,0.770982,0.000511,0.000011,0.683297,0.052664,1259.111787,10.759909,10.587364,10.586000,10.417909,10.369000,10.290417,10.383750,10.257727,0.000008,J09144+526,M0.0 V
2458119.597000,-5.398508,2.427089,6.738220,2.541220,-1.335858,0.843387,-2.088657,0.753018,0.001925,0.000669,2.461756,0.879179,1258.704515,10.764250,10.591833,10.590545,10.421417,10.373083,10.294455,10.387091,10.262250,0.000010,J09144+526,M0.0 V
2458120.443400,-7.126096,2.121606,5.243229,2.215780,-1.055603,0.641476,-2.321255,0.639115,-0.000413,-0.000092,-0.478192,-0.076750,1257.645215,10.765455,10.593000,10.592091,10.423182,10.374250,10.295909,10.388364,10.262667,0.000009,J09144+526,M0.0 V
2458127.511900,5.083554,6.921760,12.646535,6.974388,3.346902,0.853361,2.485090,0.855176,0.001005,-0.000091,1.333039,-0.046929,1257.162539,10.758583,10.586167,10.584636,10.415545,10.366083,10.287000,10.380636,10.254333,0.000009,J09144+526,M0.0 V
2458136.362600,-9.208364,1.170134,1.104087,1.524487,0.688870,0.880292,-0.264380,0.977162,0.001464,0.000266,1.848328,0.340354,1257.549846,10.782750,10.610455,10.609167,10.440333,10.391455,10.312333,10.406545,10.280182,0.000009,J09144+526,M0.0 V
2458141.672000,-13.654354,1.016491,-1.966379,1.228101,-1.005243,0.709154,-1.639904,0.689187,0.000005,0.000044,0.012721,0.061819,1257.035510,10.787833,10.614417,10.614182,10.444727,10.396333,10.316545,10.410545,10.284417,0.000011,J09144+526,M0.0 V
2458149.444200,-5.661296,1.472884,7.835733,1.650402,-2.115978,0.741030,-3.448958,0.744607,0.000716,0.000127,0.977787,0.234105,1256.834018,10.760364,10.588636,10.587250,10.418417,10.369083,10.289833,10.383818,10.258167,0.000011,J09144+526,M0.0 V
2458160.329800,-8.849468,5.064422,4.480467,5.255167,-2.374291,1.370957,-3.281864,1.403002,0.000638,0.000042,0.871333,0.118823,1257.418068,10.762583,10.589909,10.588667,10.419750,10.370167,10.291818,10.385818,10.259667,0.000012,J09144+526,M0.0 V
2458161.367600,-18.251273,1.145322,-6.068343,1.487997,-2.469533,1.304997,-2.134859,0.949934,0.000068,0.000053,0.142081,0.120976,1256.852352,10.764417,10.592083,10.591000,10.421833,10.373333,10.294636,10.388091,10.262500,0.000013,J09144+526,M0.0 V
2458166.461200,-13.318373,1.278937,2.853531,1.536319,-5.370221,0.955027,-6.123833,0.851231,-0.000298,0.000038,-0.502146,-0.072974,1257.970676,10.915833,10.742545,10.741417,10.571250,10.522917,10.442750,10.535364,10.410750,0.000020,J09144+526,M0.0 V
