bjd,nzp,e_nzp,tzp,e_tzp,rvc,avc,star,spt,t1,t2,t3,t4,t5,t6,t7,t8
2458064.6243,3.0409149979647565,0.6151133220545089,-1.1343418908411422,5.6708344253657215,0.750806,-8.447712402840487,J06105-218,['M0.5 V'],10.851833333333332,10.679000000000087,10.677818181818168,10.508666666666729,10.45972727272732,10.380818181818142,10.475090909090907,10.348083333333363
2458089.5596,-1.2772660360798669,0.7029949351213055,-2.1922487817073772,5.739863082848741,2.366473,-2.5138643687958635,J06105-218,['M0.5 V'],10.777166666666744,10.604909090909132,10.603727272727326,10.434666666666716,10.38718181818183,10.307909090909106,10.401636363636385,10.27533333333338
2458117.4697,0.4130466961705346,0.7223290856036522,-0.7629794025071135,6.463934129845997,4.852708,-1.717942101046265,J06105-218,['M0.5 V'],10.755666666666627,10.583454545454572,10.58181818181822,10.413166666666656,10.364545454545464,10.2856363636364,10.379363636363678,10.25358333333338
2458124.498,-3.173722258546492,1.8825396308249929,-0.8965464327360166,9.526630194224184,0.894491,-2.089390146329238,J06105-218,['M0.5 V'],10.773909090909058,10.600833333333355,10.59983333333338,10.431272727272756,10.382083333333355,10.302583333333304,10.396250000000007,10.270363636363696
2458132.4334,-0.8919368139118412,1.2066518391474592,-0.6565750079214752,5.99594938328031,7.461753,2.196086409036111,J06105-218,['M0.5 V'],10.764272727272669,10.591727272727326,10.590583333333312,10.422363636363627,10.372250000000063,10.293749999999989,10.387749999999984,10.261363636363685
2458134.4286,-1.1805531328210908,0.8000462750822874,-0.8984145730869386,10.10947075303338,6.029221,1.0521707279453605,J06105-218,['M0.5 V'],10.771333333333304,10.598818181818215,10.597583333333318,10.429333333333377,10.37881818181819,10.299583333333374,10.393272727272745,10.26672727272728
2458149.4374,-3.228464683840901,0.8022734059993928,-1.4291341099260961,10.394556215844265,4.365796,1.43665727896517,J06105-218,['M0.5 V'],10.760545454545422,10.588727272727285,10.587000000000046,10.418500000000051,10.369250000000022,10.29000000000002,10.383909090909128,10.258333333333384
2458161.3601,-2.9006789379574043,1.063635584898918,-0.9473264046209238,6.618068975876577,4.707708,1.4507835330816743,J06105-218,['M0.5 V'],10.764416666666705,10.591916666666693,10.590583333333312,10.421916666666732,10.37309090909099,10.294545454545528,10.388166666666676,10.262416666666638
2458399.723,0.1826432737784749,0.7658915484872938,0.4529817759934076,4.5351378583308,8.813951,2.473704321345794,J06105-218,['M0.5 V'],10.85466666666673,10.682090909090904,10.680666666666696,10.511583333333364,10.459727272727264,10.380583333333275,10.47399999999999,10.3480909090909
2458417.6501,-1.2109379870993031,0.8469231447993667,-0.22918880847331025,8.86943855636637,3.098692,-1.8479734177764275,J06105-218,['M0.5 V'],10.816250000000023,10.643454545454516,10.642500000000098,10.47416666666669,10.421454545454594,10.342083333333392,10.43650000000008,10.310090909090944
2458451.5707,0.1428502059101715,0.6743369926852554,-0.027307769856761865,8.384684042055762,6.082966,-0.217487610785902,J06105-218,['M0.5 V'],10.741916666666668,10.569333333333418,10.56745454545461,10.399363636363605,10.347833333333426,10.26925,10.363181818181886,10.236750000000027
2458472.5197,0.6720743027190326,3.611374211557097,-0.5867733542674358,16.62740453536977,5.841682,-0.9879957075947632,J06105-218,['M0.5 V'],10.752090909090896,10.578909090909065,10.57783333333333,10.409750000000088,10.358909090909094,10.2798181818182,10.374250000000018,10.247727272727277
2458476.5248,0.2386353500607171,0.6521016234957225,0.18351951169474034,9.23334675631747,5.166798,-1.2294407549364474,J06105-218,['M0.5 V'],10.753583333333438,10.580727272727302,10.579999999999984,10.411454545454546,10.360727272727274,10.282500000000084,10.375416666666638,10.250090909090943
2458477.4944,-0.2804851550521258,0.5201550601615024,-1.0502742024462037,12.151675081502376,7.375296,1.498177750176395,J06105-218,['M0.5 V'],10.75154545454552,10.579083333333358,10.577583333333337,10.408916666666755,10.358333333333348,10.279818181818143,10.373416666666742,10.247250000000063
2458478.4872,2.1245321735384617,0.6466763295057795,0.3888817304485883,7.308886645410341,8.367536,0.0854004215858074,J06105-218,['M0.5 V'],10.750090909090943,10.578250000000024,10.576916666666705,10.408250000000066,10.35783333333336,10.278636363636394,10.37258333333341,10.246500000000026
2458491.4625,-1.481272286006718,0.575638304139795,-0.6232263127587743,8.617120812554438,4.995749,0.3194178811309877,J06105-218,['M0.5 V'],10.740666666666698,10.56783333333334,10.566727272727348,10.399,10.346833333333336,10.267916666666736,10.362181818181853,10.235416666666652
