wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5193.24969553,5193.24320333,0.00000000,2321.52438176,0.15593647,16.21187640,0.01998466,0.01998464,38482,118,1
5193.36947301,5193.37819375,0.00000000,2327.17720725,0.11756921,16.24481638,0.01998461,0.01998464,38481,118,1
5193.50704695,nan,0.00000000,2333.67521733,0.16956937,16.28184378,0.01998462,0.01998464,38480,118,1
5193.64222656,5193.64819564,0.00000000,2340.06566168,0.13379073,16.31738187,0.01998462,0.01998464,38479,118,1
5193.78265333,5193.78320711,2346.73641949,2346.71021287,0.13687203,16.35340866,0.01998464,0.01998464,38478,118,0
5193.78265333,5193.78320711,2346.73641949,2346.71021287,0.13687203,16.35340866,0.01998464,0.01998464,38478,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,16.39184640,nan,0.00000000,-2147483648,118,1
5194.05905485,5194.05325110,0.00000000,2359.80532845,0.23194778,16.42164057,0.01998466,0.01998464,38476,118,1
5194.18453727,5194.18828363,0.00000000,2365.75806883,0.13461832,16.45143769,0.01998463,0.01998464,38475,118,1
5194.31747716,5194.32332318,0.00000000,2372.06980110,0.17081341,16.48219623,0.01998462,0.01998464,38474,118,1
5194.46455767,5194.45836975,0.00000000,2379.05917687,0.16628837,16.51525100,0.01998466,0.01998464,38473,118,1
5194.60780071,nan,0.00000000,2385.87254499,0.05400764,16.54645298,0.01998470,0.01998464,38472,118,1
5194.72722349,5194.72848396,2391.61260077,2391.55256443,0.11452247,16.57169292,0.01998463,0.01998464,38471,118,0
5194.87927226,5194.86355160,0.00000000,2398.80237524,0.10464652,16.60288641,0.01998470,0.01998464,38470,118,1
5194.87927226,5194.86355160,0.00000000,2398.80237524,0.10464652,16.60288641,0.01998470,0.01998464,38470,118,1
5194.87927226,5194.86355160,0.00000000,2398.80237524,0.10464652,16.60288641,0.01998470,0.01998464,38470,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.63271892,nan,0.00000000,-2147483648,118,1
5195.14821967,nan,0.00000000,2411.63437108,0.11348935,16.65528019,0.01998470,0.01998464,38468,118,1
5195.24989281,5195.26879665,0.00000000,2416.49122049,0.09681311,16.67416890,0.01998457,0.01998464,38467,118,1
5195.24989281,5195.26879665,0.00000000,2416.49122049,0.09681311,16.67416890,0.01998457,0.01998464,38467,118,1
5195.39491900,5195.40389239,0.00000000,2423.42456648,0.05318391,16.70023456,0.01998461,0.01998464,38466,118,1
5195.39491900,5195.40389239,0.00000000,2423.42456648,0.05318391,16.70023456,0.01998461,0.01998464,38466,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.72042710,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.72750340,nan,0.00000000,-2147483648,118,1
5195.68009371,5195.67410494,0.00000000,2437.07718289,0.25362097,16.74846333,0.01998466,0.01998464,38464,118,1
5195.80632107,5195.80922175,0.00000000,2443.12838410,0.10497683,16.76852213,0.01998463,0.01998464,38463,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.78721035,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.79340140,nan,0.00000000,-2147483648,118,1
5196.09359726,5196.07947646,0.00000000,2456.91875574,0.14592808,16.81120282,0.01998470,0.01998464,38461,118,1
5196.20552241,5196.21461435,0.00000000,2462.29864312,0.18789476,16.82670810,0.01998461,0.01998464,38460,118,1
5196.20552241,5196.21461435,0.00000000,2462.29864312,0.18789476,16.82670810,0.01998461,0.01998464,38460,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.85042262,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.86075805,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.87559180,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.88035775,nan,0.00000000,-2147483648,118,1
5196.75493420,nan,0.00000000,2488.76479835,0.20881588,16.89359491,0.01998464,0.01998464,38456,118,1
5196.90042602,5196.89040928,0.00000000,2495.78953769,0.13458059,16.90872035,0.01998468,0.01998464,38455,118,1
5197.02663621,5197.02558936,2501.84285859,2501.89347559,0.11226994,16.92096598,0.01998465,0.01998464,38454,118,0
5197.18031250,nan,0.00000000,2509.32234611,0.17572699,16.93474297,0.01998472,0.01998464,38453,118,1
5197.30340639,5197.29597062,0.00000000,2515.28206673,0.15156198,16.94490035,0.01998467,0.01998464,38452,118,1
5197.42034181,5197.43117179,0.00000000,2520.94816263,0.12897556,16.95381778,0.01998460,0.01998464,38451,118,1
5197.57542569,5197.56638000,0.00000000,2528.46958585,0.21299134,16.96454082,0.01998468,0.01998464,38450,118,1
5197.70228238,5197.70159525,2534.59896108,2534.63232820,0.04871184,16.97237877,0.01998465,0.01998464,38449,118,0
5197.83108812,5197.83681753,0.00000000,2540.88608324,0.17840281,16.97945899,0.01998462,0.01998464,38448,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.98552988,nan,0.00000000,-2147483648,118,1
5198.11501443,5198.10728320,0.00000000,2554.70032469,0.14335789,16.99197828,0.01998467,0.01998464,38446,118,1
